|company_code1|company_code2|company_code3|company_code4|pol_no|app_no|ins_date|eff_date|cur_code1|pre_amt_all|usd_amt_all|app_name|app_cst_no|app_id_no|app_cus_pro|ins_name|ins_cst_no|ins_id_no|ins_cus_pro|benefit_name|benefit_id_no|benefit_pro|relation_1|relation_2|pay_type|rpay_date|pay_date|cur_code2|pay_amt|pay_usd_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|etl_date
42|||||P997301806201700000003|T997301806201700000003|20171219|20171220||||小萝卜头科技有限公司|8000000014|12345678-z|0|小萝卜头科技有限公司|8000000014|12345678-z|0|||||||||||||||||
43|||||P997301806201700000003|T997301806201700000003|20171219|20171220||||小萝卜头科技有限公司|8000000014|12345678-z|0|小萝卜头科技有限公司|8000000014|12345678-z|0|||||||||||||||||
44|||||P997301806201700000001|T997301806201700000004|20171219|20171220||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
45|||||P997301806201700000001|T997301806201700000004|20171219|20171220||||非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|非转基因大胖蚕豆科技股份有限公司|8000000012|5113074173351027C|0|||||||||||||||||
46|||||P997301807201700000001|T997301807201700000001|20171219|20171220||||汪汪小函联合科技有限公司|8000000015|1111122|0|汪汪小函联合科技有限公司|8000000015|1111122|0|||||||||||||||||
47|||||P997301808201700000001|T997301808201700000001|20171219|20171220||||俊男俊逸高新技术有限公司|8000000016|1234567890|0|俊男俊逸高新技术有限公司|8000000016|1234567890|0|||||||||||||||||
48|||||P997301806201700000003|T997301806201700000005|20171219|20171220||||小萝卜头科技有限公司|8000000014|12345678-z|0|小萝卜头科技有限公司|8000000014|12345678-z|0|||||||||||||||||
49|||||P997301806201700000003|T997301806201700000005|20171219|20171220||||小萝卜头科技有限公司|8000000014|12345678-z|0|小萝卜头科技有限公司|8000000014|12345678-z|0|||||||||||||||||
50|||||P997301805201700000001|T997301805201700000001|20171219|20171220||||最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|0|最爱是黑猫警长科技有限公司|8000000011|QAZX1234567890|0|||||||||||||||||
51|||||P997301806201700000004|T997301806201700000006|20171220|20171220||||豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|0|豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|0|||||||||||||||||
52|||||P997301806201700000004|T997301806201700000006|20171220|20171220||||豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|0|豆腐乳高新茄子渣科技有限公司|8000000020|7770305004170305H|0|||||||||||||||||
53|||||P997301808201700000002|T997301808201700000002|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
54|||||P997301808201700000002|T997301808201700000002|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
55|||||P997301808201700000002|T997301808201700000002|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
56|||||P997301602201700000010|T997301602201700000013|20171220|20171221||||买买提.买买提|8000000027|123123123123123123|1|买买提.买买提|8000000027|123123123123123123|1|||||||||||||||||
57|||||P997301602201700000010|T997301602201700000013|20171220|20171221||||买买提.买买提|8000000027|123123123123123123|1|买买提.买买提|8000000027|123123123123123123|1|||||||||||||||||
58|||||P997301602201700000011|T997301602201700000014|20171220|20171221||||qweqweqw|8000000029|123123213wqeqwe|0|qweqweqw|8000000029|123123213wqeqwe|0|||||||||||||||||
59|||||P997301807201700000002|T997301807201700000002|20171220|20171221||||卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|0|卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|0|||||||||||||||||
60|||||P997301807201700000002|T997301807201700000002|20171220|20171221||||卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|0|卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|0|||||||||||||||||
61|||||P997301602201700000012|T997301602201700000015|20171220|20171221||||艾买提·亚库甫|8000000032|qweqwewqeqwe|1|艾买提·亚库甫|8000000032|qweqwewqeqwe|1|||||||||||||||||
62|||||P997301602201700000010|T997301602201700000016|20171220|20171221||||买买提.买买提|8000000027|123123123123123123|1|买买提.买买提|8000000027|123123123123123123|1|||||||||||||||||
63|||||P997301602201700000010|T997301602201700000016|20171220|20171221||||买买提.买买提|8000000027|123123123123123123|1|买买提.买买提|8000000027|123123123123123123|1|||||||||||||||||
64|||||P997301808201700000003|T997301808201700000004|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
65|||||P997301808201700000003|T997301808201700000004|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
66|||||P997301808201700000003|T997301808201700000004|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
67|||||P997301808201700000003|T997301808201700000004|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
68|||||P997301808201700000003|T997301808201700000005|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
69|||||P997301808201700000003|T997301808201700000005|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
70|||||P997301808201700000003|T997301808201700000005|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
71|||||P997301808201700000003|T997301808201700000005|20171220|20171221||||洛丝罗林的黄油啤酒|8000000024|5113079120761027G|0|瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|0|||||||||||||||||
72|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
73|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
74|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
75|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
76|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
77|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
78|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
79|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
80|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
81|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
82|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
83|||||P997301802201700000001|T997301802201700000004|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
84|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
85|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
86|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
87|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
88|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
89|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
90|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
91|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
92|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
93|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
94|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
95|||||P997301802201700000001|T997301802201700000005|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
96|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
97|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
98|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
99|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
100|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
101|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
102|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
103|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
104|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
105|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
106|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
107|||||P997301802201700000001|T997301802201700000006|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
108|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
109|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
110|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
111|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
112|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
113|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
114|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
115|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
116|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
117|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
118|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
119|||||P997301802201700000001|T997301802201700000007|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
120|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
121|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
122|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
123|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
124|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
125|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
126|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
127|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
128|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
129|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
130|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
131|||||P997301802201700000001|T997301802201700000008|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
132|||||P997301802201700000001|T997301802201700000009|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
133|||||P997301802201700000001|T997301802201700000009|20171218|20171219||||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|0|||||||||||||||||
