|company_code1|company_code2|company_code3|company_code4|pay_type|pol_no|app_no|ins_date|eff_date|cur_code|pre_amt_all|usd_amt_all|pay_amt_all|usd_pay_amt_all|app_name|app_cst_no|id_no|cus_pro|sur_name|sur_id_no|sur_date|pay_date|cur_code2|sur_amt|usd_sur_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|etl_date
69||||||P336401002201900000003|T336401002201900000005|190620|190620||||||测试数据001|8000000040|11111111111111111111|0||||||||||||||
70||||||P336401003201800000001|T336401003201800000001|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
71||||||P336401003201800000002|T336401003201800000002|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
72||||||P336401003201800000014|T336401003201800000003|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
73||||||P336401003201800000003|T336401003201800000004|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
74||||||P336401003201800000004|T336401003201800000005|181206|181207||||||许露露|8000000622|893750347905|1||||||||||||||
75||||||P336401003201800000005|T336401003201800000006|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
76||||||P336401003201800000006|T336401003201800000007|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
77||||||P336401003201800000007|T336401003201800000008|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
78||||||P336401003201800000008|T336401003201800000009|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
79||||||P336401003201800000009|T336401003201800000010|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
80||||||P336401003201800000010|T336401003201800000011|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
81|||||07|P336401003201800000010|T336401003201800000012|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-01|
82|||||08|P336401003201800000010|T336401003201800000013|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-02|
83|||||12|P336401003201800000010|T336401003201800000014|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-03|
84|||||15|P336401003201800000010|T336401003201800000015|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-04|
85||||||P336401003201800000010|T336401003201800000011|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
86|||||07|P336401003201800000010|T336401003201800000012|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-01|
87|||||08|P336401003201800000010|T336401003201800000013|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-02|
88|||||12|P336401003201800000010|T336401003201800000014|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-03|
89|||||15|P336401003201800000010|T336401003201800000015|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-04|
90||||||P336401003201800000010|T336401003201800000011|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
91|||||07|P336401003201800000010|T336401003201800000012|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-01|
92|||||08|P336401003201800000010|T336401003201800000013|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-02|
93|||||12|P336401003201800000010|T336401003201800000014|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-03|
94|||||15|P336401003201800000010|T336401003201800000015|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-04|
95||||||P336401003201800000010|T336401003201800000011|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
96|||||07|P336401003201800000010|T336401003201800000012|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-01|
97|||||08|P336401003201800000010|T336401003201800000013|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-02|
98|||||12|P336401003201800000010|T336401003201800000014|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-03|
99|||||15|P336401003201800000010|T336401003201800000015|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-04|
100||||||P336401003201800000010|T336401003201800000011|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
101|||||07|P336401003201800000010|T336401003201800000012|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-01|
102|||||08|P336401003201800000010|T336401003201800000013|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-02|
103|||||12|P336401003201800000010|T336401003201800000014|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-03|
104|||||15|P336401003201800000010|T336401003201800000015|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000010-04|
105||||||P336401003201800000011|T336401003201800000016|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
106|||||c1|P336401003201800000011|T336401003201800000017|181206|181207||||||许露露|8000000620|89650897905790|1|||||||||||||P336401003201800000011-01|
107||||||P336401003201800000011|T336401003201800000016|181206|181207||||||许露露|8000000620|89650897905790|1||||||||||||||
108|||||c1|P336401003201800000011|T336401003201800000017|181206|181207||||||许露露|8000000620|89650897905790|1|||||||||||||P336401003201800000011-01|
109||||||P336401003201800000012|T336401003201800000018|181206|180106||||||许露露|8000000620|89650897905790|1||||||||||||||
110|||||s2|P336401003201800000012|T336401003201800000021|181206|180106||||||许露露|8000000620|89650897905790|1|||||||||||||P336401003201800000012-01|
111||||||P336401003201800000013|T336401003201800000019|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
112|||||s1|P336401003201800000013|T336401003201800000020|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000013-01|
113||||||P336401003201800000013|T336401003201800000019|181206|181207||||||许露露|8000000621|8797907|1||||||||||||||
114|||||s1|P336401003201800000013|T336401003201800000020|181206|181207||||||许露露|8000000621|8797907|1|||||||||||||P336401003201800000013-01|
115||||||P336401003201800000012|T336401003201800000018|181206|180106||||||许露露|8000000620|89650897905790|1||||||||||||||
116|||||s2|P336401003201800000012|T336401003201800000021|181206|180106||||||许露露|8000000620|89650897905790|1|||||||||||||P336401003201800000012-01|
117||||||P336401007201800000007|T336401007201800000001|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
118||||||P336401007201800000005|T336401007201800000002|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
119||||||P336401007201800000006|T336401007201800000003|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
120||||||P336401007201800000012|T336401007201800000004|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
121||||||P336401007201800000011|T336401007201800000005|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
122||||||P336401007201800000013|T336401007201800000006|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
123||||||P336401007201800000002|T336401007201800000007|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
124||||||P336401007201800000003|T336401007201800000008|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
125||||||P336401007201800000001|T336401007201800000009|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
126||||||P336401007201800000009|T336401007201800000010|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
127|||||07|P336401007201800000009|T336401007201800000017|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-01|
128|||||08|P336401007201800000009|T336401007201800000018|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-02|
129||||||P336401007201800000008|T336401007201800000011|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
130|||||c1|P336401007201800000008|T336401007201800000015|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000008-01|
131||||||P336401007201800000004|T336401007201800000012|181207|181107||||||许露露|8000000625|485684037590309|1||||||||||||||
132|||||s2|P336401007201800000004|T336401007201800000016|181207|181107||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000004-01|
133||||||P336401007201800000010|T336401007201800000013|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
134|||||s1|P336401007201800000010|T336401007201800000014|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000010-01|
135||||||P336401007201800000010|T336401007201800000013|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
136|||||s1|P336401007201800000010|T336401007201800000014|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000010-01|
137||||||P336401007201800000008|T336401007201800000011|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
138|||||c1|P336401007201800000008|T336401007201800000015|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000008-01|
139||||||P336401007201800000004|T336401007201800000012|181207|181107||||||许露露|8000000625|485684037590309|1||||||||||||||
140|||||s2|P336401007201800000004|T336401007201800000016|181207|181107||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000004-01|
141||||||P336401007201800000009|T336401007201800000010|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
142|||||07|P336401007201800000009|T336401007201800000017|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-01|
143|||||08|P336401007201800000009|T336401007201800000018|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-02|
144||||||P336401007201800000009|T336401007201800000010|181207|181208||||||许露露|8000000625|485684037590309|1||||||||||||||
145|||||07|P336401007201800000009|T336401007201800000017|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-01|
146|||||08|P336401007201800000009|T336401007201800000018|181207|181208||||||许露露|8000000625|485684037590309|1|||||||||||||P336401007201800000009-02|
147||||||P336401007201900000001|T336401007201900000001|190620|190601||||||蓝忘机|8000000432|641451451|1||||||||||||||
148||||||P336401602201800000013|T336401602201800000001|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
149||||||P336401602201800000007|T336401602201800000002|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
150||||||P336401602201800000009|T336401602201800000003|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
151||||||P336401602201800000008|T336401602201800000004|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
152||||||P336401602201800000004|T336401602201800000005|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
153||||||P336401602201800000011|T336401602201800000006|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
154||||||P336401602201800000003|T336401602201800000007|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
155||||||P336401602201800000002|T336401602201800000008|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
156||||||P336401602201800000012|T336401602201800000009|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
157||||||P336401602201800000005|T336401602201800000010|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
158|||||07|P336401602201800000005|T336401602201800000014|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-01|
159|||||08|P336401602201800000005|T336401602201800000015|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-02|
160|||||12|P336401602201800000005|T336401602201800000016|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-03|
161|||||45|P336401602201800000005|T336401602201800000017|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-04|
162||||||P336401602201800000010|T336401602201800000011|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
163|||||c1|P336401602201800000010|T336401602201800000019|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000010-01|
164||||||P336401602201800000006|T336401602201800000012|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
165|||||s1|P336401602201800000006|T336401602201800000018|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000006-01|
166||||||P336401602201800000001|T336401602201800000013|181212|181112||||||许露露|8000000629|8537904750434|1||||||||||||||
167||||||P336401602201800000005|T336401602201800000010|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
168|||||07|P336401602201800000005|T336401602201800000014|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-01|
169|||||08|P336401602201800000005|T336401602201800000015|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-02|
170|||||12|P336401602201800000005|T336401602201800000016|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-03|
171|||||45|P336401602201800000005|T336401602201800000017|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-04|
172||||||P336401602201800000005|T336401602201800000010|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
173|||||07|P336401602201800000005|T336401602201800000014|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-01|
174|||||08|P336401602201800000005|T336401602201800000015|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-02|
175|||||12|P336401602201800000005|T336401602201800000016|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-03|
176|||||45|P336401602201800000005|T336401602201800000017|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-04|
177||||||P336401602201800000005|T336401602201800000010|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
178|||||07|P336401602201800000005|T336401602201800000014|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-01|
179|||||08|P336401602201800000005|T336401602201800000015|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-02|
180|||||12|P336401602201800000005|T336401602201800000016|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-03|
181|||||45|P336401602201800000005|T336401602201800000017|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-04|
182||||||P336401602201800000005|T336401602201800000010|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
183|||||07|P336401602201800000005|T336401602201800000014|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-01|
184|||||08|P336401602201800000005|T336401602201800000015|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-02|
185|||||12|P336401602201800000005|T336401602201800000016|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-03|
186|||||45|P336401602201800000005|T336401602201800000017|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000005-04|
187||||||P336401602201800000006|T336401602201800000012|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
188|||||s1|P336401602201800000006|T336401602201800000018|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000006-01|
189||||||P336401602201800000010|T336401602201800000011|181212|181213||||||许露露|8000000629|8537904750434|1||||||||||||||
190|||||c1|P336401602201800000010|T336401602201800000019|181212|181213||||||许露露|8000000629|8537904750434|1|||||||||||||P336401602201800000010-01|
191||||||P336401603201900000001|T336401603201900000001|190121|190101||||||许露露|8000000690|8000000690|1||||||||||||||
192||||||P336401603201900000002|T336401603201900000002|190214|190215||||||许露露|8000000690|8000000690|1||||||||||||||
193||||||P336401603201900000003|T336401603201900000003|190214|190215||||||许露露|8000000690|8000000690|1||||||||||||||
194||||||P336401603201900000004|T336401603201900000004|190214|190208||||||许露露|8000000690|8000000690|1||||||||||||||
195||||||P336401603201900000005|T336401603201900000005|190219|190220||||||许露露|8000000690|8000000690|1||||||||||||||
196||||||P336401603201900000006|T336401603201900000008|190219|190220||||||许露露|8000000690|8000000690|1||||||||||||||
197||||||P336401606201800000001|T336401606201800000002|181214|181215||||||咋啊啊|8000000631|2121122|1||||||||||||||
198||||||P336401701201900000001|T336401701201900000001|190111|190112||||||软通ZH|8000000064|2134512323|1||||||||||||||
199||||||P336401805201800000001|T336401805201800000001|181229|181230||||||许露露|8000000622|893750347905|1||||||||||||||
200||||||P336401808201800000001|T336401808201800000001|181210|181211||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
201|||||08|P336401808201800000001|T336401808201800000003|181210|181211||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336401808201800000001-01|
202||||||P336401808201800000002|T336401808201800000002|181210|181201||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
203||||||P336401808201800000001|T336401808201800000001|181210|181211||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
204|||||08|P336401808201800000001|T336401808201800000003|181210|181211||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336401808201800000001-01|
205||||||P336401808201800000003|T336401808201800000004|181211|181212||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
206||||||P336401808201800000004|T336401808201800000005|181211|181212||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
207||||||P336401808201800000005|T336401808201800000006|181211|181212||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
208||||||P336401808201800000006|T336401808201800000007|181211|181201||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
209||||||P336402001201900000001|T336402001201900000002|190102|190103||||||软通ZH|8000000067|12444123|1||||||||||||||
210||||||P336404000201800000001|T336404000201800000002|181213|181214||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
211||||||P336404000201800000002|T336404000201800000004|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
212||||||P336404000201800000003|T336404000201800000005|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
213|||||07|P336404000201800000003|T336404000201800000006|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-01|
214|||||08|P336404000201800000003|T336404000201800000007|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-02|
215||||||P336404000201800000003|T336404000201800000005|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
216|||||07|P336404000201800000003|T336404000201800000006|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-01|
217|||||08|P336404000201800000003|T336404000201800000007|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-02|
218||||||P336404000201800000003|T336404000201800000005|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
219|||||07|P336404000201800000003|T336404000201800000006|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-01|
220|||||08|P336404000201800000003|T336404000201800000007|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000003-02|
221||||||P336404000201800000004|T336404000201800000008|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
222|||||s1|P336404000201800000004|T336404000201800000009|181214|181215||||||浙分-测试|8000000627|62343254352134|0|||||||||||||P336404000201800000004-01|
223||||||P336404000201800000004|T336404000201800000008|181214|181215||||||浙分-测试|8000000627|62343254352134|0||||||||||||||
