|company_code1|company_code2|company_code3|pol_no|ins_date|app_name|app_cst_no|app_id_no|insfav_type|insbene_cus_pro|relation|fav_type|name|insbene_cst_no|insbene_id_no|etl_date
68||||P997301807201700000002|171220|卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|11|0|||卷华生福侦探黑科技股份有限公司|8000000030|5113054171070727L|
69||||P997301602201700000012|171220|艾买提·亚库甫|8000000032|qweqwewqeqwe|11|1|08||艾买提·亚库甫|8000000032|qweqwewqeqwe|
70||||P997301602201700000010|171220|买买提.买买提|8000000027|123123123123123123|11|1|08||买买提.买买提|8000000027|123123123123123123|
71||||P997301602201700000010|171220|买买提.买买提|8000000027|123123123123123123|11|1|08||买买提.买买提|8000000027|123123123123123123|
72||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
73||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
74||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
75||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
76||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
77||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
78||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
79||||P997301808201700000003|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
80||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
81||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
82||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
83||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
84||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
85||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
86||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
87||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
88||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
89||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
90||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
91||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
92||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
93||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
94||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
95||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
96||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
97||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
98||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
99||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
100||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
101||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
102||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
103||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
104||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
105||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
106||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
107||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
108||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
109||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
110||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
111||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
112||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
113||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
114||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
115||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
116||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
117||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
118||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
119||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
120||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
121||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
122||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
123||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
124||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
125||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
126||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
127||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
128||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
129||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
130||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
131||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
132||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
133||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
134||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
135||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
136||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
137||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
138||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
139||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
140||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
141||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
142||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
143||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
144||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
145||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
146||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
147||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
148||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
149||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
150||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
151||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
152||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
153||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
154||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
155||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
156||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
157||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
158||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
159||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
160||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
161||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
162||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
163||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
164||||P997301808201700000004|171220|洛丝罗林的黄油啤酒|8000000024|5113079120761027G|11|0|||瑞文戴尔的蜂蜜公爵|8000000025|5110370734341206Y|
165||||P997301602201700000013|171220|嘉通科技股份有限公司|8000000007|9113050074340825F|11|0|||嘉通科技股份有限公司|8000000007|9113050074340825F|
166||||P997301602201700000013|171220|嘉通科技股份有限公司|8000000007|9113050074340825F|11|0|||嘉通科技股份有限公司|8000000007|9113050074340825F|
167||||P997301602201700000013|171220|嘉通科技股份有限公司|8000000007|9113050074340825F|11|0|||嘉通科技股份有限公司|8000000007|9113050074340825F|
168||||P997301602201700000013|171220|嘉通科技股份有限公司|8000000007|9113050074340825F|11|0|||嘉通科技股份有限公司|8000000007|9113050074340825F|
169||||P997301604201700000001|171220|买买提.买买提|8000000027|123123123123123123|11|1|01||艾买提·亚库甫|8000000032|qweqwewqeqwe|
170||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
171||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
172||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
173||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
174||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
175||||P997301802201700000001|171218|阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|11|0|||阿里奶奶是土豪科技有限公司|8000000009|WSXC1234567890|
